"file","source_table","row_id","customer_id","date","created_at","edited_date"
"notes_381_cust-921.svg","notes","381","921","2025-03-10","2026-04-03 00:00:00+00","2026-01-09"
"notes_810_cust-381.svg","notes","810","381","2025-03-10","2026-04-12 00:00:00+00","2026-01-09"
"notes_1242_cust-1435.svg","notes","1242","1435","2025-03-10","2026-04-15 04:50:05.655+00","2026-01-09"
"notes_10_cust-475.svg","notes","10","475","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_11_cust-475.svg","notes","11","475","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_164_cust-655.svg","notes","164","655","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_165_cust-655.svg","notes","165","655","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_189_cust-672.svg","notes","189","672","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_190_cust-672.svg","notes","190","672","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_35_cust-492.svg","notes","35","492","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_36_cust-492.svg","notes","36","492","2025-09-01","2026-04-03 00:00:00+00","null"
"notes_576_cust-115.svg","notes","576","115","2025-09-01","2026-04-12 00:00:00+00","null"
"notes_577_cust-115.svg","notes","577","115","2025-09-01","2026-04-12 00:00:00+00","null"
"notes_603_cust-132.svg","notes","603","132","2025-09-01","2026-04-12 00:00:00+00","null"
"notes_604_cust-132.svg","notes","604","132","2025-09-01","2026-04-12 00:00:00+00","null"
"notes_1008_cust-1188.svg","notes","1008","1188","2025-09-01","2026-04-15 04:46:08.323+00","null"
"notes_1009_cust-1188.svg","notes","1009","1188","2025-09-01","2026-04-15 04:46:08.373+00","null"
"notes_1035_cust-1205.svg","notes","1035","1205","2025-09-01","2026-04-15 04:46:42.004+00","null"
"notes_1036_cust-1205.svg","notes","1036","1205","2025-09-01","2026-04-15 04:46:42.06+00","null"
"notes_133_cust-608.svg","notes","133","608","2025-09-05","2026-04-03 00:00:00+00","null"
"notes_141_cust-616.svg","notes","141","616","2025-09-05","2026-04-03 00:00:00+00","null"
"notes_209_cust-706.svg","notes","209","706","2025-09-05","2026-04-03 00:00:00+00","null"
"notes_287_cust-788.svg","notes","287","788","2025-09-05","2026-04-03 00:00:00+00","null"
